horizon_hours,track,target,model,removed_group,n_features_removed,mae_full,mae_ablated,delta_mae,delta_wape_pct
1,flow,ingressi_borgo,extra_trees,pedoni,13,18.8157,22.652,3.8364,7.7593
1,flow,ingressi_borgo,extra_trees,calendar,2,18.8157,20.3023,1.4866,3.0068
1,flow,ingressi_borgo,extra_trees,meteo,7,18.8157,19.7137,0.8981,1.8164
1,flow,ingressi_borgo,extra_trees,target_history,1,18.8157,18.7981,-0.0176,-0.0355
1,flow,ingressi_borgo,extra_trees,tim,2,18.8157,18.6694,-0.1463,-0.2959
1,flow,uscite_borgo,extra_trees,pedoni,13,15.3625,23.4165,8.054,15.1355
1,flow,uscite_borgo,extra_trees,calendar,2,15.3625,16.1404,0.7779,1.4618
1,flow,uscite_borgo,extra_trees,tim,2,15.3625,15.3082,-0.0543,-0.102
1,flow,uscite_borgo,extra_trees,target_history,1,15.3625,15.2925,-0.07,-0.1316
1,flow,uscite_borgo,extra_trees,meteo,7,15.3625,15.1807,-0.1818,-0.3417
1,nationality,tim_Ni_mean15,ridge,tim,7,157.7613,293.794,136.0327,2.8682
1,nationality,tim_Ni_mean15,ridge,events,3,157.7613,165.5758,7.8144,0.1648
1,nationality,tim_Ni_mean15,ridge,target_history,3,157.7613,164.1022,6.3409,0.1337
1,nationality,tim_Ni_mean15,ridge,meteo,2,157.7613,158.6533,0.892,0.0188
1,nationality,tim_Ns_mean15,extra_trees,target_history,3,11.9778,22.377,10.3992,8.7521
1,nationality,tim_Ns_mean15,extra_trees,meteo,2,11.9778,13.7024,1.7246,1.4515
1,nationality,tim_Ns_mean15,extra_trees,tim,7,11.9778,10.8974,-1.0804,-0.9093
1,nationality,tim_Ns_mean15,extra_trees,events,3,11.9778,10.6704,-1.3074,-1.1003
1,age,tim_F1_mean15,two_stage_ridge,tim,6,10.0677,15.085,5.0173,7.2718
1,age,tim_F1_mean15,two_stage_ridge,target_history,8,10.0677,10.1851,0.1174,0.1702
1,age,tim_F1_mean15,two_stage_ridge,meteo,1,10.0677,9.4393,-0.6284,-0.9107
1,age,tim_F2_mean15,ridge,tim,6,21.1227,24.3897,3.267,0.8945
1,age,tim_F2_mean15,ridge,target_history,8,21.1227,23.7295,2.6068,0.7137
1,age,tim_F2_mean15,ridge,meteo,1,21.1227,20.8103,-0.3124,-0.0855
1,age,tim_F3_mean15,ridge,tim,6,24.9335,41.8071,16.8737,3.7813
1,age,tim_F3_mean15,ridge,target_history,8,24.9335,25.9592,1.0257,0.2298
1,age,tim_F3_mean15,ridge,meteo,1,24.9335,24.8865,-0.047,-0.0105
1,age,tim_F4_mean15,two_stage_ridge,tim,6,34.491,52.3663,17.8754,2.6979
1,age,tim_F4_mean15,two_stage_ridge,target_history,8,34.491,41.748,7.257,1.0953
1,age,tim_F4_mean15,two_stage_ridge,meteo,1,34.491,35.1564,0.6654,0.1004
1,age,tim_F5_mean15,extra_trees,target_history,8,46.1953,51.9144,5.7191,0.6525
1,age,tim_F5_mean15,extra_trees,tim,6,46.1953,50.9193,4.724,0.5389
1,age,tim_F5_mean15,extra_trees,meteo,1,46.1953,46.1416,-0.0537,-0.0061
1,age,tim_F6_mean15,hist_gradient_boosting,target_history,8,36.7308,61.1779,24.4471,1.5951
1,age,tim_F6_mean15,hist_gradient_boosting,tim,6,36.7308,43.766,7.0352,0.459
1,age,tim_F6_mean15,hist_gradient_boosting,meteo,1,36.7308,37.5312,0.8004,0.0522
