horizon_hours,track,target,model,model_family,mae,rmse,r2,smape_pct,wape_pct,mase,peak_f1,fit_seconds,inference_ms_per_row
1,flow,ingressi_borgo,extra_trees,feature_model,18.6937,46.8595,0.5542,55.2417,37.8095,0.7285,0.7143,0.5048,0.1191
1,flow,uscite_borgo,extra_trees,feature_model,15.393,27.9499,0.8256,51.8225,28.9274,0.541,0.8098,0.495,0.0988
1,nationality,tim_Ni_mean15,ridge,feature_model,157.8777,247.4929,0.6035,3.4489,3.3288,0.6365,,0.0042,0.0016
1,nationality,tim_Ns_mean15,extra_trees,feature_model,11.9967,16.0037,0.6265,10.0544,10.0965,0.3492,0.589,0.3612,0.0993
1,age,tim_F1_mean15,two_stage_ridge,feature_model,10.1284,12.7752,0.1913,15.7952,14.6797,0.8947,,0.0191,0.0042
1,age,tim_F2_mean15,ridge,feature_model,21.1444,31.7794,0.457,6.0495,5.7894,0.5408,,0.0041,0.0015
1,age,tim_F3_mean15,ridge,feature_model,25.0209,36.6954,0.4882,5.8201,5.607,0.5909,,0.004,0.0015
1,age,tim_F4_mean15,two_stage_ridge,feature_model,34.4468,50.9204,0.446,5.4386,5.199,0.6202,,0.0187,0.0043
1,age,tim_F5_mean15,extra_trees,feature_model,46.1489,63.5913,0.5901,5.5131,5.2648,0.6979,,0.2746,0.0987
1,age,tim_F6_mean15,hist_gradient_boosting,feature_model,37.1972,51.4991,0.5064,2.4353,2.427,0.5844,,0.2295,0.0099
