horizon_hours,target_set,analysis_dir,model,target,model_family,n_train,n_test,fit_seconds,predict_seconds,total_seconds,inference_ms_per_row,mae,rmse,r2,smape_pct,wape_pct,mase,nmae_vs_mean_target,peak_mae,peak_threshold,peak_support,peak_predicted,peak_precision,peak_recall,peak_f1
1,age,outputs/slurm_dozza_three_analyses/h1h/age,two_stage_ridge,tim_F1_mean15,feature_model,2163,541,0.0198,0.0023,0.0221,0.0043,10.0677,12.746,0.195,15.703,14.5918,0.8891,0.1459,27.1637,93.6529,10,1,0.0,0.0,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,ridge,tim_F2_mean15,feature_model,2163,541,0.0042,0.0008,0.005,0.0015,21.1227,31.4922,0.4668,6.0266,5.7834,0.54,0.0578,,528.6794,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,ridge,tim_F3_mean15,feature_model,2163,541,0.0041,0.0008,0.0049,0.0015,24.9335,36.4077,0.4962,5.7978,5.5875,0.5887,0.0559,,681.8077,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,two_stage_ridge,tim_F4_mean15,feature_model,2163,541,0.0182,0.0023,0.0205,0.0042,34.491,51.4662,0.4341,5.4565,5.2056,0.6209,0.0521,,1015.7815,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,extra_trees,tim_F5_mean15,feature_model,2163,541,0.2719,0.0537,0.3256,0.0993,46.1953,63.6269,0.5896,5.5179,5.2701,0.6985,0.0527,,1270.8415,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,hist_gradient_boosting,tim_F6_mean15,feature_model,2163,541,0.2288,0.0053,0.2341,0.0099,36.7308,50.9175,0.5175,2.4052,2.3966,0.5769,0.024,,2207.3619,0,0,,,
1,flow,outputs/slurm_dozza_three_analyses/h1h/flow,extra_trees,ingressi_borgo,feature_model,2163,541,0.4738,0.0538,0.5276,0.0994,18.8157,47.029,0.5509,55.7038,38.0562,0.733,0.3806,64.4568,82.0,105,78,0.8462,0.6286,0.7213
1,flow,outputs/slurm_dozza_three_analyses/h1h/flow,extra_trees,uscite_borgo,feature_model,2163,541,0.474,0.0538,0.5278,0.0994,15.3625,27.8586,0.8267,51.5928,28.8701,0.5397,0.2887,44.1909,81.0,109,95,0.8737,0.7615,0.8137
1,nationality,outputs/slurm_dozza_three_analyses/h1h/nationality,ridge,tim_Ni_mean15,feature_model,2163,541,0.0042,0.0008,0.0051,0.0015,157.7613,247.0087,0.6051,3.4472,3.3263,0.6358,0.0333,,6654.0086,0,0,,,
1,nationality,outputs/slurm_dozza_three_analyses/h1h/nationality,extra_trees,tim_Ns_mean15,feature_model,2163,541,0.3837,0.0542,0.4379,0.1002,11.9778,15.9928,0.627,10.0898,10.0806,0.3485,0.1008,16.9988,147.6335,75,86,0.5581,0.64,0.5963
3,age,outputs/slurm_dozza_three_analyses/h3h/age,hist_gradient_boosting,tim_F1_mean15,feature_model,2137,535,0.2269,0.0054,0.2322,0.01,10.0169,13.217,0.1414,15.6337,14.5345,0.8668,0.1453,25.6554,93.6864,10,0,,0.0,
3,age,outputs/slurm_dozza_three_analyses/h3h/age,extra_trees,tim_F2_mean15,feature_model,2137,535,0.2066,0.0437,0.2503,0.0817,28.2687,37.8159,0.2333,7.9503,7.7367,0.6985,0.0774,,528.4532,0,0,,,
3,age,outputs/slurm_dozza_three_analyses/h3h/age,extra_trees,tim_F3_mean15,feature_model,2137,535,0.2048,0.0434,0.2482,0.0811,35.3618,43.4366,0.2751,8.107,7.9154,0.8099,0.0792,,681.9512,0,0,,,
3,age,outputs/slurm_dozza_three_analyses/h3h/age,xgboost,tim_F4_mean15,feature_model,2137,535,0.0832,0.002,0.0852,0.0037,47.0645,58.5785,0.2713,7.3025,7.1019,0.8123,0.071,,1016.5499,0,0,,,
3,age,outputs/slurm_dozza_three_analyses/h3h/age,random_forest,tim_F5_mean15,feature_model,2137,535,0.3205,0.033,0.3535,0.0617,61.2075,81.1202,0.3348,7.254,6.98,0.8858,0.0698,,1271.1975,0,0,,,
3,age,outputs/slurm_dozza_three_analyses/h3h/age,poisson,tim_F6_mean15,feature_model,2137,535,0.0073,0.0009,0.0082,0.0016,51.2056,73.192,0.0121,3.3698,3.3402,0.7753,0.0334,,2207.3866,0,0,,,
3,flow,outputs/slurm_dozza_three_analyses/h3h/flow,extra_trees,ingressi_borgo,feature_model,2137,535,0.254,0.0536,0.3076,0.1003,17.6665,46.5544,0.5639,55.1343,35.5911,0.6695,0.3559,61.9547,83.4,101,79,0.9114,0.7129,0.8
3,flow,outputs/slurm_dozza_three_analyses/h3h/flow,extra_trees,uscite_borgo,feature_model,2137,535,0.2528,0.0543,0.307,0.1014,18.365,38.0453,0.6797,54.4953,34.3734,0.6248,0.3437,56.8491,81.4,107,83,0.8434,0.6542,0.7368
3,nationality,outputs/slurm_dozza_three_analyses/h3h/nationality,extra_trees,tim_Ni_mean15,feature_model,2137,535,0.2821,0.0549,0.337,0.1025,237.1649,313.9321,0.3631,5.1294,4.9982,0.9052,0.05,,6654.4292,0,0,,,
3,nationality,outputs/slurm_dozza_three_analyses/h3h/nationality,extra_trees,tim_Ns_mean15,feature_model,2137,535,0.2933,0.0641,0.3574,0.1198,15.299,19.8296,0.4294,12.8517,12.858,0.4405,0.1286,29.9358,147.5575,76,30,0.5333,0.2105,0.3019
6,age,outputs/slurm_dozza_three_analyses/h6h/age,hist_gradient_boosting,tim_F1_mean15,feature_model,2118,531,0.2308,0.0055,0.2363,0.0103,10.7005,13.6713,0.0882,16.6645,15.5287,0.9334,0.1553,30.434,93.6489,10,0,,0.0,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,ridge,tim_F2_mean15,feature_model,2118,531,0.0036,0.0008,0.0044,0.0015,31.3519,41.6315,0.0743,8.8879,8.5758,0.7806,0.0858,,529.7219,0,0,,,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,random_forest,tim_F3_mean15,feature_model,2118,531,0.2904,0.033,0.3233,0.0621,38.1882,47.9246,0.1191,8.776,8.5423,0.8791,0.0854,,682.0249,0,0,,,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,log1p_ridge,tim_F4_mean15,feature_model,2118,531,0.0039,0.001,0.0049,0.0019,52.0187,69.214,-0.012,8.0683,7.8456,0.8954,0.0785,,1017.7677,0,0,,,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,random_forest,tim_F5_mean15,feature_model,2118,531,0.291,0.0331,0.3241,0.0624,74.9804,102.8521,-0.0641,8.7687,8.5471,1.0902,0.0855,,1271.8207,0,0,,,
6,age,outputs/slurm_dozza_three_analyses/h6h/age,poisson,tim_F6_mean15,feature_model,2118,531,0.0072,0.0009,0.0081,0.0017,70.9419,97.2743,-0.744,4.6425,4.6259,1.0758,0.0463,,2207.3524,0,0,,,
6,flow,outputs/slurm_dozza_three_analyses/h6h/flow,extra_trees,ingressi_borgo,feature_model,2118,531,0.2811,0.0539,0.3351,0.1016,19.776,47.2656,0.553,63.9436,39.709,0.7403,0.3971,67.1555,83.0,103,76,0.8816,0.6505,0.7486
6,flow,outputs/slurm_dozza_three_analyses/h6h/flow,extra_trees,uscite_borgo,feature_model,2118,531,0.2826,0.0535,0.3362,0.1008,20.9096,42.2702,0.6068,62.8249,38.9798,0.7023,0.3898,64.846,81.3,107,71,0.8732,0.5794,0.6966
6,nationality,outputs/slurm_dozza_three_analyses/h6h/nationality,ridge,tim_Ni_mean15,feature_model,2118,531,0.004,0.0009,0.0048,0.0016,281.9715,373.8912,0.0999,6.0915,5.9398,1.0807,0.0594,,6654.2687,0,0,,,
6,nationality,outputs/slurm_dozza_three_analyses/h6h/nationality,extra_trees,tim_Ns_mean15,feature_model,2118,531,0.2858,0.0539,0.3397,0.1015,19.8406,25.1266,0.079,16.8583,16.6408,0.5709,0.1664,42.9451,147.546,76,0,,0.0,
12,age,outputs/slurm_dozza_three_analyses/h12h/age,dummy_median,tim_F1_mean15,feature_model,2090,526,0.0002,0.0001,0.0003,0.0001,10.8789,14.3768,-0.0087,16.7849,15.7923,0.9402,0.1579,28.796,93.6473,10,0,,0.0,
