horizon_hours,target_set,analysis_dir,model,target,model_family,n_train,n_test,fit_seconds,predict_seconds,total_seconds,inference_ms_per_row,mae,rmse,r2,smape_pct,wape_pct,mase,nmae_vs_mean_target,peak_mae,peak_threshold,peak_support,peak_predicted,peak_precision,peak_recall,peak_f1
1,age,outputs/slurm_dozza_three_analyses/h1h/age,last_hour,tim_F1_mean15,time_series_baseline,2164,541,0.0,0.005,0.005,0.0093,4.9105,7.6435,0.7105,7.6277,7.1171,0.4338,0.0712,9.7516,93.6521,10,10,0.4,0.4,0.4
1,age,outputs/slurm_dozza_three_analyses/h1h/age,last_hour,tim_F2_mean15,time_series_baseline,2164,541,0.0,0.0033,0.0033,0.0061,15.2623,19.9077,0.7869,4.3039,4.1788,0.3904,0.0418,,528.6229,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,last_hour,tim_F3_mean15,time_series_baseline,2164,541,0.0,0.0032,0.0032,0.0059,16.5994,22.9126,0.8005,3.8493,3.7198,0.392,0.0372,,681.7859,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,last_hour,tim_F4_mean15,time_series_baseline,2164,541,0.0,0.0032,0.0032,0.0058,21.8845,31.2206,0.7918,3.4047,3.303,0.394,0.033,,1015.7555,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,last_hour,tim_F5_mean15,time_series_baseline,2164,541,0.0,0.0032,0.0032,0.0059,27.4725,38.7801,0.8475,3.2567,3.1342,0.4154,0.0313,,1270.8291,0,0,,,
1,age,outputs/slurm_dozza_three_analyses/h1h/age,last_hour,tim_F6_mean15,time_series_baseline,2164,541,0.0,0.0032,0.0032,0.0058,26.2317,37.9324,0.7322,1.7266,1.7116,0.4121,0.0171,,2207.36,0,0,,,
1,flow,outputs/slurm_dozza_three_analyses/h1h/flow,extra_trees,ingressi_borgo,feature_model,2164,541,0.5048,0.0644,0.5693,0.1191,18.6937,46.8595,0.5542,55.2417,37.8095,0.7285,0.3781,63.905,82.0,105,77,0.8442,0.619,0.7143
1,flow,outputs/slurm_dozza_three_analyses/h1h/flow,extra_trees,uscite_borgo,feature_model,2164,541,0.495,0.0535,0.5484,0.0988,15.393,27.9499,0.8256,51.8225,28.9274,0.541,0.2893,44.1472,81.0,109,96,0.8646,0.7615,0.8098
1,nationality,outputs/slurm_dozza_three_analyses/h1h/nationality,last_hour,tim_Ni_mean15,time_series_baseline,2164,541,0.0,0.005,0.005,0.0093,97.7994,147.9601,0.8583,2.1278,2.0621,0.3943,0.0206,,6653.9103,0,0,,,
1,nationality,outputs/slurm_dozza_three_analyses/h1h/nationality,last_hour,tim_Ns_mean15,time_series_baseline,2164,541,0.0,0.0033,0.0033,0.006,7.9976,11.2639,0.815,6.8219,6.7309,0.2328,0.0673,12.0602,147.6326,75,75,0.6933,0.6933,0.6933
