horizon_hours,target_set,target,last_hour_mae,last_hour_rmse,last_hour_r2,last_hour_smape_pct,last_hour_wape_pct,last_hour_mase,best_feature_model,best_feature_mae,best_feature_rmse,best_feature_r2,best_feature_smape_pct,best_feature_wape_pct,best_feature_mase,feature_mae_reduction_pct_vs_last_hour,feature_r2_delta_vs_last_hour
1,age,tim_F1_mean15,4.9105,7.6435,0.7105,7.6277,7.1171,0.4338,two_stage_ridge,10.1284,12.7752,0.1913,15.7952,14.6797,0.8947,-106.2588,-0.5192
1,age,tim_F2_mean15,15.2623,19.9077,0.7869,4.3039,4.1788,0.3904,ridge,21.1444,31.7794,0.457,6.0495,5.7894,0.5408,-38.5405,-0.3299
1,age,tim_F3_mean15,16.5994,22.9126,0.8005,3.8493,3.7198,0.392,ridge,25.0209,36.6954,0.4882,5.8201,5.607,0.5909,-50.7339,-0.3122
1,age,tim_F4_mean15,21.8845,31.2206,0.7918,3.4047,3.303,0.394,two_stage_ridge,34.4468,50.9204,0.446,5.4386,5.199,0.6202,-57.4028,-0.3457
1,age,tim_F5_mean15,27.4725,38.7801,0.8475,3.2567,3.1342,0.4154,extra_trees,46.1489,63.5913,0.5901,5.5131,5.2648,0.6979,-67.9823,-0.2575
1,age,tim_F6_mean15,26.2317,37.9324,0.7322,1.7266,1.7116,0.4121,hist_gradient_boosting,37.1972,51.4991,0.5064,2.4353,2.427,0.5844,-41.8026,-0.2258
1,flow,ingressi_borgo,21.2902,42.3294,0.6362,64.1155,43.0612,0.8297,extra_trees,18.6937,46.8595,0.5542,55.2417,37.8095,0.7285,12.1958,-0.082
1,flow,uscite_borgo,20.5434,35.4529,0.7193,66.9355,38.6064,0.722,extra_trees,15.393,27.9499,0.8256,51.8225,28.9274,0.541,25.0708,0.1062
1,nationality,tim_Ni_mean15,97.7994,147.9601,0.8583,2.1278,2.0621,0.3943,ridge,157.8777,247.4929,0.6035,3.4489,3.3288,0.6365,-61.4301,-0.2548
1,nationality,tim_Ns_mean15,7.9976,11.2639,0.815,6.8219,6.7309,0.2328,extra_trees,11.9967,16.0037,0.6265,10.0544,10.0965,0.3492,-50.0029,-0.1885
3,age,tim_F1_mean15,4.9252,7.6487,0.7125,7.6601,7.1464,0.4264,hist_gradient_boosting,10.1165,13.3197,0.128,15.7917,14.6789,0.8759,-105.4043,-0.5844
3,age,tim_F2_mean15,15.2768,19.8528,0.7887,4.3086,4.181,0.3776,extra_trees,28.3586,37.8808,0.2306,7.9739,7.7613,0.7009,-85.6319,-0.558
3,age,tim_F3_mean15,16.4711,22.5379,0.8048,3.8171,3.6869,0.3772,two_stage_ridge,35.5,46.2965,0.1765,8.2068,7.9464,0.8131,-115.5291,-0.6283
3,age,tim_F4_mean15,21.8397,31.0987,0.7946,3.3986,3.2955,0.3773,xgboost,47.401,58.9045,0.2632,7.3562,7.1527,0.819,-117.0406,-0.5315
3,age,tim_F5_mean15,27.3263,38.4055,0.8509,3.2381,3.1162,0.3957,random_forest,61.4001,81.3442,0.3311,7.2753,7.002,0.8892,-124.6923,-0.5198
3,age,tim_F6_mean15,26.2982,37.7484,0.7372,1.7308,1.7154,0.3985,poisson,51.0703,73.0475,0.016,3.3608,3.3313,0.7738,-94.1973,-0.7212
3,flow,ingressi_borgo,21.3944,42.5339,0.636,63.4684,43.1014,0.8112,random_forest,21.1328,52.8445,0.4381,59.4774,42.5744,0.8012,1.2227,-0.1979
3,flow,uscite_borgo,20.6262,35.6181,0.7193,66.2463,38.6055,0.7022,random_forest,20.9607,41.9411,0.6108,58.416,39.2316,0.7136,-1.6218,-0.1085
3,nationality,tim_Ni_mean15,97.2241,145.6724,0.8629,2.1157,2.049,0.3714,extra_trees,238.9248,314.5872,0.3604,5.165,5.0353,0.9128,-145.7464,-0.5025
3,nationality,tim_Ns_mean15,7.9585,11.2087,0.8177,6.773,6.6887,0.2293,extra_trees,15.4691,19.8753,0.4268,12.9866,13.0009,0.4457,-94.3725,-0.3909
6,age,tim_F1_mean15,4.9283,7.6415,0.7151,7.671,7.152,0.4303,random_forest,10.7632,14.0547,0.0364,16.7118,15.6197,0.9397,-118.3957,-0.6788
6,age,tim_F2_mean15,15.1866,19.7585,0.7915,4.2823,4.1541,0.3784,ridge,31.3359,41.394,0.0848,8.881,8.5714,0.7809,-106.3387,-0.7067
6,age,tim_F3_mean15,16.3361,22.2826,0.8096,3.7834,3.6542,0.3762,ridge,37.9978,51.133,-0.0028,8.8922,8.4997,0.875,-132.5994,-0.8124
6,age,tim_F4_mean15,21.5978,30.6648,0.8014,3.3595,3.2574,0.3724,log1p_ridge,51.4586,68.4832,0.0093,7.9791,7.7611,0.8873,-138.2589,-0.7921
6,age,tim_F5_mean15,26.8747,37.7365,0.8568,3.1836,3.0635,0.3913,random_forest,74.0108,101.5564,-0.0375,8.6664,8.4366,1.0776,-175.3927,-0.8942
6,age,tim_F6_mean15,26.2586,37.2748,0.7439,1.7275,1.7123,0.3989,poisson,70.9714,96.9617,-0.7328,4.648,4.6279,1.078,-170.2784,-1.4767
6,flow,ingressi_borgo,21.5593,42.6997,0.6352,64.2148,43.2898,0.8081,extra_trees,19.7559,47.0048,0.5579,63.7235,39.6686,0.7405,8.3651,-0.0773
6,flow,uscite_borgo,20.7759,35.7625,0.7185,67.0453,38.7305,0.6989,extra_trees,20.7326,42.0526,0.6108,62.6237,38.6498,0.6975,0.2085,-0.1077
6,nationality,tim_Ni_mean15,95.6716,141.3605,0.8713,2.0811,2.0153,0.3674,ridge,280.7871,371.4748,0.1115,6.0674,5.9149,1.0782,-193.4906,-0.7598
6,nationality,tim_Ns_mean15,7.9933,11.2809,0.8143,6.797,6.7042,0.2305,extra_trees,19.899,25.1688,0.0759,16.911,16.6898,0.5738,-148.9465,-0.7385
