horizon_hours,track,target,rank_by_mae,model,model_family,mae,r2,wape_pct,fit_seconds,inference_ms_per_row
1,flow,ingressi_borgo,1,extra_trees,feature_model,18.6937,0.5542,37.8095,0.5048,0.1191
1,flow,ingressi_borgo,2,random_forest,feature_model,19.2311,0.5454,38.8965,0.682,0.0798
1,flow,ingressi_borgo,3,xgboost,feature_model,19.8934,0.5392,40.2361,0.3128,0.0054
1,flow,ingressi_borgo,4,lightgbm,feature_model,20.9756,0.5239,42.4248,0.174,0.0061
1,flow,ingressi_borgo,5,hist_gradient_boosting,feature_model,21.1592,0.508,42.7962,0.4285,0.014
1,flow,ingressi_borgo,6,last_hour,time_series_baseline,21.2902,0.6362,43.0612,0.0,0.0095
1,flow,uscite_borgo,1,extra_trees,feature_model,15.393,0.8256,28.9274,0.495,0.0988
1,flow,uscite_borgo,2,random_forest,feature_model,15.5364,0.8278,29.1969,0.6063,0.1001
1,flow,uscite_borgo,3,xgboost,feature_model,15.6577,0.8211,29.4248,0.3118,0.0055
1,flow,uscite_borgo,4,hist_gradient_boosting,feature_model,16.0672,0.8232,30.1945,0.3265,0.0142
1,flow,uscite_borgo,5,lightgbm,feature_model,16.2249,0.8068,30.4908,0.1745,0.0063
1,flow,uscite_borgo,6,last_hour,time_series_baseline,20.5434,0.7193,38.6064,0.0,0.0063
