horizon_hours,track,target,model,ablated_feature,feature_group,delta_mae,delta_wape_pct
1,flow,ingressi_borgo,extra_trees,hour,calendar,0.8762,1.7721
1,nationality,tim_Ni_mean15,ridge,tim_Tc_mean15_lag1h,tim,38.7943,0.818
1,age,tim_F6_mean15,hist_gradient_boosting,tim_F6_mean15_lag1h,target_history,12.3476,0.8057
3,flow,ingressi_borgo,extra_trees,event_weekend_event_active_roll6h_mean,events,1.6819,3.3884
3,nationality,tim_Ni_mean15,extra_trees,tim_Ns_mean15_lag1h,target_history,18.7545,0.3952
3,age,tim_F6_mean15,poisson,tim_F6_sum15_roll24h_mean,target_history,20.5565,1.3409
6,flow,uscite_borgo,extra_trees,tim_Vp_max15_roll6h_mean,tim,1.7136,3.1945
6,nationality,tim_Ni_mean15,ridge,tim_F6_mean15_lag24h,tim,23.0414,0.4854
6,age,tim_F6_mean15,poisson,tim_F6_sum15_roll24h_mean,target_history,51.0023,3.3257
12,flow,uscite_borgo,random_forest,event_weekend_event_active,events,1.3365,2.4963
12,nationality,tim_Ni_mean15,poisson,tim_Gf_mean15_roll24h_mean,tim,244.5526,5.1477
12,age,tim_F6_mean15,hist_gradient_boosting,tim_F6_sum15_roll24h_mean,target_history,105.2611,6.8605
24,flow,ingressi_borgo,xgboost,tim_Vp_mean15_lag24h,tim,3.4163,6.7719
24,nationality,tim_Ni_mean15,xgboost,tim_Gf_mean15_lag24h,tim,14.2273,0.3003
24,age,tim_F6_mean15,xgboost,tim_F6_sum15_lag24h,target_history,11.3317,0.739
