horizon_hours,track,target,rank,model,ablated_feature,feature_group,delta_mae,delta_wape_pct
1,flow,ingressi_borgo,1,extra_trees,hour,calendar,0.854,1.7272
1,flow,ingressi_borgo,2,extra_trees,entra_piazzarocca_ingresso_lag1h,pedoni,0.4441,0.8983
1,flow,ingressi_borgo,3,extra_trees,hour_cos,calendar,0.3945,0.798
1,flow,ingressi_borgo,4,extra_trees,uscita_piazzarocca_ingresso_roll3h_mean,pedoni,0.2598,0.5254
1,flow,ingressi_borgo,5,extra_trees,meteo_erg5_rad_max_roll3h_mean,meteo,0.2281,0.4614
1,flow,uscite_borgo,1,extra_trees,entra_arcoribellino_roll3h_mean,pedoni,0.7342,1.3798
1,flow,uscite_borgo,2,extra_trees,entra_arcoribellino_lag1h,pedoni,0.4703,0.8838
1,flow,uscite_borgo,3,extra_trees,entra_piazzarocca_ingresso_lag1h,pedoni,0.4597,0.8638
1,flow,uscite_borgo,4,extra_trees,hour,calendar,0.3633,0.6827
1,flow,uscite_borgo,5,extra_trees,ingressi_borgo_lag24h,target_history,0.1602,0.301
1,nationality,tim_Ni_mean15,1,ridge,tim_Tc_mean15_lag1h,tim,38.558,0.813
1,nationality,tim_Ni_mean15,2,ridge,tim_Tb_max15_roll24h_mean,tim,15.7187,0.3314
1,nationality,tim_Ni_mean15,3,ridge,tim_Ni_sum15_roll24h_mean,target_history,6.5589,0.1383
1,nationality,tim_Ni_mean15,4,ridge,event_intensity_max_roll24h_mean,events,4.7487,0.1001
1,nationality,tim_Ni_mean15,5,ridge,tim_Tc_mean15_lag24h,tim,4.4856,0.0946
1,nationality,tim_Ns_mean15,1,extra_trees,tim_Ns_mean15_lag1h,target_history,8.9418,7.5255
1,nationality,tim_Ns_mean15,2,extra_trees,event_sport_motor_intensity_roll24h_mean,events,1.8543,1.5606
1,nationality,tim_Ns_mean15,3,extra_trees,meteo_erg5_tavg_max,meteo,1.2531,1.0546
1,nationality,tim_Ns_mean15,4,extra_trees,tim_F4_sum15_lag2h,tim,0.1705,0.1435
1,nationality,tim_Ns_mean15,5,extra_trees,tim_Ni_sum15_roll24h_mean,target_history,-0.2283,-0.1921
1,age,tim_F1_mean15,1,two_stage_ridge,tim_Ni_mean15_lag1h,tim,0.7351,1.0654
1,age,tim_F1_mean15,2,two_stage_ridge,tim_Vr_mean15_lag1h,tim,0.534,0.7739
1,age,tim_F1_mean15,3,two_stage_ridge,tim_Tb_max15_roll24h_mean,tim,0.4118,0.5968
1,age,tim_F1_mean15,4,two_stage_ridge,tim_F6_mean15_lag1h,target_history,0.2529,0.3665
1,age,tim_F1_mean15,5,two_stage_ridge,tim_F2_mean15_lag24h,target_history,0.1515,0.2196
1,age,tim_F2_mean15,1,ridge,tim_F2_sum15_lag1h,target_history,1.353,0.3704
1,age,tim_F2_mean15,2,ridge,tim_Ni_mean15_lag1h,tim,0.5675,0.1554
1,age,tim_F2_mean15,3,ridge,tim_F4_mean15_lag2h,target_history,0.134,0.0367
1,age,tim_F2_mean15,4,ridge,tim_Vr_mean15_lag24h,tim,0.085,0.0233
1,age,tim_F2_mean15,5,ridge,tim_F2_mean15_lag2h,target_history,0.0615,0.0168
1,age,tim_F3_mean15,1,ridge,tim_Ni_mean15_lag1h,tim,2.016,0.4518
1,age,tim_F3_mean15,2,ridge,tim_F5_max15_lag2h,target_history,1.546,0.3464
1,age,tim_F3_mean15,3,ridge,tim_Ni_mean15_lag24h,tim,0.6428,0.144
1,age,tim_F3_mean15,4,ridge,tim_F3_mean15_lag2h,target_history,0.4463,0.1
1,age,tim_F3_mean15,5,ridge,tim_F2_mean15_lag24h,target_history,0.4414,0.0989
1,age,tim_F4_mean15,1,two_stage_ridge,tim_Ni_mean15_lag1h,tim,3.9788,0.6005
1,age,tim_F4_mean15,2,two_stage_ridge,tim_F4_mean15_lag2h,target_history,2.5546,0.3856
1,age,tim_F4_mean15,3,two_stage_ridge,tim_F5_max15_lag2h,target_history,1.7044,0.2572
1,age,tim_F4_mean15,4,two_stage_ridge,tim_F2_mean15_lag24h,target_history,1.123,0.1695
1,age,tim_F4_mean15,5,two_stage_ridge,tim_Vr_mean15_lag1h,tim,1.058,0.1597
1,age,tim_F5_mean15,1,extra_trees,tim_Ni_mean15_lag1h,tim,3.4504,0.3936
1,age,tim_F5_mean15,2,extra_trees,tim_F6_mean15_lag1h,target_history,2.261,0.2579
1,age,tim_F5_mean15,3,extra_trees,tim_Vr_mean15_lag1h,tim,0.6925,0.079
1,age,tim_F5_mean15,4,extra_trees,tim_F2_sum15_lag1h,target_history,0.5014,0.0572
1,age,tim_F5_mean15,5,extra_trees,tim_F5_max15_lag2h,target_history,0.4983,0.0568
1,age,tim_F6_mean15,1,hist_gradient_boosting,tim_F6_mean15_lag1h,target_history,12.9623,0.8458
1,age,tim_F6_mean15,2,hist_gradient_boosting,tim_Ni_mean15_roll24h_mean,tim,7.6521,0.4993
1,age,tim_F6_mean15,3,hist_gradient_boosting,tim_F6_sum15_lag24h,target_history,2.5209,0.1645
1,age,tim_F6_mean15,4,hist_gradient_boosting,tim_Vr_mean15_lag24h,tim,0.4966,0.0324
1,age,tim_F6_mean15,5,hist_gradient_boosting,meteo_erg5_tavg_min_roll24h_mean,meteo,0.3382,0.0221
3,flow,ingressi_borgo,1,random_forest,entra_arcoribellino_roll3h_mean,pedoni,0.5402,1.0882
3,flow,ingressi_borgo,2,random_forest,meteo_erg5_cell01624_rhavg,meteo,0.5329,1.0736
3,flow,ingressi_borgo,3,random_forest,hour,calendar,0.5118,1.031
3,flow,ingressi_borgo,4,random_forest,entra_piazzarocca_ingresso_lag1h,pedoni,0.507,1.0213
3,flow,ingressi_borgo,5,random_forest,hour_cos,calendar,0.3254,0.6556
3,flow,uscite_borgo,1,random_forest,entra_piazzarocca_ingresso_lag1h,pedoni,0.6522,1.2208
3,flow,uscite_borgo,2,random_forest,entra_arcoribellino_lag1h,pedoni,0.291,0.5447
3,flow,uscite_borgo,3,random_forest,entra_arcoribellino_roll3h_mean,pedoni,0.2903,0.5433
3,flow,uscite_borgo,4,random_forest,hour,calendar,0.2696,0.5046
3,flow,uscite_borgo,5,random_forest,meteo_erg5_cell01624_rhavg,meteo,0.2163,0.4049
3,nationality,tim_Ni_mean15,1,extra_trees,tim_Ns_mean15_lag1h,target_history,19.2898,0.4065
3,nationality,tim_Ni_mean15,2,extra_trees,tim_Ni_mean15_lag1h,target_history,3.5219,0.0742
3,nationality,tim_Ni_mean15,3,extra_trees,tim_F6_mean15_lag1h,tim,2.6578,0.056
3,nationality,tim_Ni_mean15,4,extra_trees,tim_Ni_sum15_roll24h_mean,target_history,0.8098,0.0171
3,nationality,tim_Ni_mean15,5,extra_trees,tim_F6_mean15_lag24h,tim,-0.377,-0.0079
3,nationality,tim_Ns_mean15,1,extra_trees,tim_Ns_mean15_lag1h,target_history,3.027,2.5441
3,nationality,tim_Ns_mean15,2,extra_trees,meteo_erg5_tavg_max,meteo,1.7212,1.4465
3,nationality,tim_Ns_mean15,3,extra_trees,event_sport_motor_intensity_roll24h_mean,events,0.5658,0.4755
3,nationality,tim_Ns_mean15,4,extra_trees,meteo_erg5_cell01584_et0_roll24h_mean,meteo,0.0106,0.0089
3,nationality,tim_Ns_mean15,5,extra_trees,tim_F1_max15_roll24h_mean,tim,-0.161,-0.1353
3,age,tim_F1_mean15,1,hist_gradient_boosting,tim_F1_max15_roll24h_mean,target_history,1.2338,1.7903
3,age,tim_F1_mean15,2,hist_gradient_boosting,tim_F6_sum15_roll24h_mean,target_history,0.993,1.4408
3,age,tim_F1_mean15,3,hist_gradient_boosting,event_intensity_max_roll24h_mean,events,0.5653,0.8202
3,age,tim_F1_mean15,4,hist_gradient_boosting,tim_F6_mean15_lag24h,target_history,0.4516,0.6553
3,age,tim_F1_mean15,5,hist_gradient_boosting,tim_F6_max15_lag1h,target_history,0.3042,0.4414
3,age,tim_F2_mean15,1,extra_trees,tim_Tc_mean15_lag1h,tim,1.2845,0.3515
3,age,tim_F2_mean15,2,extra_trees,tim_F6_max15_lag1h,target_history,0.5929,0.1623
3,age,tim_F2_mean15,3,extra_trees,tim_Ni_sum15_lag24h,tim,0.4588,0.1256
3,age,tim_F2_mean15,4,extra_trees,event_sport_motor_active_lag1h,events,0.3343,0.0915
3,age,tim_F2_mean15,5,extra_trees,tim_F6_mean15_lag24h,target_history,0.1019,0.0279
3,age,tim_F3_mean15,1,two_stage_ridge,tim_Tb_max15_roll24h_mean,tim,6.9495,1.5556
3,age,tim_F3_mean15,2,two_stage_ridge,tim_F1_max15_roll24h_mean,target_history,3.1075,0.6956
3,age,tim_F3_mean15,3,two_stage_ridge,tim_F6_sum15_roll24h_mean,target_history,2.0823,0.4661
3,age,tim_F3_mean15,4,two_stage_ridge,meteo_erg5_tavg_min_roll24h_mean,meteo,1.118,0.2503
3,age,tim_F3_mean15,5,two_stage_ridge,tim_F4_max15_lag2h,target_history,0.9445,0.2114
3,age,tim_F4_mean15,1,xgboost,tim_Tc_mean15_lag1h,tim,1.4935,0.2254
3,age,tim_F4_mean15,2,xgboost,event_intensity_max_roll24h_mean,events,1.4701,0.2218
3,age,tim_F4_mean15,3,xgboost,event_sport_motor_intensity_roll24h_mean,events,0.6874,0.1037
3,age,tim_F4_mean15,4,xgboost,tim_F1_max15_roll24h_mean,target_history,0.5114,0.0772
3,age,tim_F4_mean15,5,xgboost,event_sport_motor_active_lag24h,events,0.3057,0.0461
3,age,tim_F5_mean15,1,random_forest,tim_F6_max15_lag1h,target_history,2.7868,0.3178
3,age,tim_F5_mean15,2,random_forest,tim_Tc_mean15_lag1h,tim,1.6181,0.1845
3,age,tim_F5_mean15,3,random_forest,tim_F6_mean15_lag24h,target_history,0.915,0.1043
3,age,tim_F5_mean15,4,random_forest,tim_Ni_sum15_lag24h,tim,0.6818,0.0777
3,age,tim_F5_mean15,5,random_forest,tim_Tb_max15_roll24h_mean,tim,0.5514,0.0629
3,age,tim_F6_mean15,1,poisson,tim_F6_sum15_roll24h_mean,target_history,20.4818,1.336
3,age,tim_F6_mean15,2,poisson,tim_F6_max15_lag1h,target_history,10.2356,0.6677
3,age,tim_F6_mean15,3,poisson,tim_F6_mean15_lag24h,target_history,4.0736,0.2657
3,age,tim_F6_mean15,4,poisson,tim_F1_max15_roll24h_mean,target_history,1.7832,0.1163
3,age,tim_F6_mean15,5,poisson,tim_F4_max15_lag2h,target_history,1.7149,0.1119
6,flow,ingressi_borgo,1,extra_trees,tim_Vp_max15_roll6h_mean,tim,1.1215,2.2519
6,flow,ingressi_borgo,2,extra_trees,tim_Vi_max15_roll6h_mean,tim,0.661,1.3272
6,flow,ingressi_borgo,3,extra_trees,meteo_erg5_rad_std_lag24h,meteo,0.1946,0.3907
6,flow,ingressi_borgo,4,extra_trees,hour,calendar,0.184,0.3694
6,flow,ingressi_borgo,5,extra_trees,hour_cos,calendar,0.1635,0.3282
6,flow,uscite_borgo,1,extra_trees,tim_Vp_max15_roll6h_mean,tim,1.8773,3.4996
6,flow,uscite_borgo,2,extra_trees,tim_Vi_max15_roll6h_mean,tim,1.0465,1.9509
6,flow,uscite_borgo,3,extra_trees,meteo_erg5_rad_mean_lag1h,meteo,0.2083,0.3883
6,flow,uscite_borgo,4,extra_trees,hour_cos,calendar,0.1383,0.2579
6,flow,uscite_borgo,5,extra_trees,hour,calendar,0.1383,0.2578
6,nationality,tim_Ni_mean15,1,ridge,tim_F6_mean15_lag24h,tim,21.5311,0.4536
6,nationality,tim_Ni_mean15,2,ridge,tim_F6_max15_lag1h,tim,14.7032,0.3097
