horizon_hours,track,selected_top_k,validation_scope,targets,mean_best_mae,mean_best_r2
1,flow,25,rolling,2,17.4368,0.6327
1,nationality,15,rolling,2,99.0631,0.6642
1,age,15,rolling,6,32.4684,0.534
3,flow,30,rolling,2,19.5397,0.4675
3,nationality,15,rolling,2,171.1796,0.1972
3,age,15,rolling,6,49.0998,0.1493
6,flow,15,rolling,2,22.7309,0.2447
6,nationality,15,rolling,2,185.0177,0.1461
6,age,15,rolling,6,50.0284,0.1053
12,flow,60,rolling,2,23.1586,0.2053
12,nationality,15,rolling,2,188.8867,0.1095
12,age,15,rolling,6,51.0233,0.0747
24,flow,25,rolling,2,25.091,0.3208
24,nationality,15,rolling,2,133.2884,0.359
24,age,15,rolling,6,41.7846,0.2684
