horizon_hours,track,target,model,feature,feature_group,mean_abs_shap
1,flow,ingressi_borgo,extra_trees,meteo_erg5_rad_max_roll3h_mean,meteo,9.6033
1,flow,uscite_borgo,extra_trees,meteo_erg5_rad_max_roll3h_mean,meteo,7.8077
1,flow,uscite_borgo,extra_trees,entra_arcoribellino_lag1h,pedoni,6.8783
1,flow,uscite_borgo,extra_trees,entra_piazzarocca_ingresso_lag1h,pedoni,6.6678
1,flow,uscite_borgo,extra_trees,meteo_erg5_rad_max_lag1h,meteo,6.5956
1,flow,ingressi_borgo,extra_trees,entra_piazzarocca_ingresso_lag1h,pedoni,6.178
1,flow,ingressi_borgo,extra_trees,entra_arcoribellino_lag1h,pedoni,5.8935
1,flow,uscite_borgo,extra_trees,entra_arcoribellino_roll3h_mean,pedoni,5.6958
1,flow,uscite_borgo,extra_trees,hour_cos,calendar,4.8078
1,flow,ingressi_borgo,extra_trees,hour_cos,calendar,4.7675
1,nationality,tim_Ni_mean15,ridge,tim_Tc_mean15_lag1h,tim,214.6869
1,nationality,tim_Ni_mean15,ridge,tim_Tc_mean15_lag24h,tim,90.7401
1,nationality,tim_Ni_mean15,ridge,tim_F4_sum15_lag2h,tim,48.795
1,nationality,tim_Ni_mean15,ridge,event_intensity_max_roll24h_mean,events,44.8114
1,nationality,tim_Ni_mean15,ridge,event_sport_motor_intensity_lag24h,events,37.5714
1,nationality,tim_Ni_mean15,ridge,tim_F5_mean15_lag2h,tim,31.7737
1,nationality,tim_Ni_mean15,ridge,tim_Tb_max15_roll24h_mean,tim,27.8467
1,nationality,tim_Ni_mean15,ridge,tim_F6_max15_lag2h,tim,23.5974
1,nationality,tim_Ni_mean15,ridge,tim_F3_mean15_lag2h,tim,22.2917
1,nationality,tim_Ni_mean15,ridge,meteo_erg5_tavg_max,meteo,21.4638
1,age,tim_F4_mean15,two_stage_ridge,tim_Ni_mean15_lag1h,tim,59.9188
1,age,tim_F3_mean15,ridge,tim_Ni_mean15_lag1h,tim,40.6352
1,age,tim_F6_mean15,hist_gradient_boosting,tim_F6_mean15_lag1h,target_history,36.6792
1,age,tim_F4_mean15,two_stage_ridge,tim_Vr_mean15_lag1h,tim,21.4705
1,age,tim_F5_mean15,extra_trees,tim_Ni_mean15_lag1h,tim,20.2079
1,age,tim_F2_mean15,ridge,tim_F2_sum15_lag1h,target_history,19.0886
1,age,tim_F4_mean15,two_stage_ridge,tim_Vr_mean15_lag24h,tim,16.268
1,age,tim_F2_mean15,ridge,tim_Ni_mean15_lag1h,tim,13.2419
1,age,tim_F5_mean15,extra_trees,tim_Ni_mean15_lag24h,tim,13.2303
1,age,tim_F4_mean15,two_stage_ridge,tim_F3_mean15_lag2h,target_history,13.0347
